ASIN,Brand,Title,Category,BuyBox,#,Fulfillment ,Price,FBA fee,Sales,Revenue,BSR,Rating,Review Count,Review Velocity,Dimensions,Weight,Size Tier,Images,Unnamed: 19,Unnamed: 20,select,url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10
B07NKZZ7XR,JIWINNER,"Mini Size Hot Glue Sticks, 100 Pack, 4” Length and 0.27” Diameter,Compatible with Most Glue Guns","Arts, Crafts & Sewing",JIWINNER,1.0,FBA,9.47,6.18,3.0,28.41,"362,467",4.5,10,0.0,4.4x7.6x1.1,0.92,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
B07WQ1XGRY,FineInno,Finelnno 72pcs Glitter Hot Glue Sticks Mini Colored Glue Sticks 7mm Hot Melt Glue Sticks Adhesive for DIY Arts Crafts (72pcs Glue Sticks),Tools & Home Improvement,Cute Chic,2.0,FBA,13.98,4.51,3.0,41.94,"1,032,662",0.0,0,0.0,2.0x2.0x0.4,0.09,Small Standard-Size,7.0,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
B0783H6S9D,Sundarling,Sealing Wax Sticks，10 Pieces Flexible Glue Gun Sealing Wax for Retro Vintage Invitations Envelope Letter (Pink),"Arts, Crafts & Sewing",sundarling,2.0,,9.99,3.91,1.0,9.99,"572,756",5.0,8,0.0,4.0x5.1x0.5,0.3,Small Standard-Size,,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
B07L2G667D,Ryoma,100 Pack Hot Glue Gun Sticks 13Color 7 mm by 100 mm Mini Glue Sticks Hot Melt Glue Sticks Mini Glitter for DIY Art Craft Compatible with Most Glue Guns,"Arts, Crafts & Sewing",sport-best,3.0,,11.99,6.56,0.0,,"493,196",3.5,3,0.0,5.8x5.9x1.7,0.95,Large Standard-Size,8.0,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
B00ICHZ0J4,3M,"3M Hot Melt Adhesive 3738 TC, Tan, 5/8 in x 2 in",Industrial & Scientific,Amazon,4.0,AMZ,155.0,27.66,0.0,,"531,952",3.0,3,0.0,8.6x12.2x7.6,12.05,Large Standard-Size,4.0,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
B07XLY296H,Big-FEIFEI,"100PACK Mini Hot Glue Gun Sticks Clear 4' x 0.28' Compatible with Industrial Glue Guns Hot Glue Adhesive Work,Good Adhesion,Few Bubble,Quickly Melting Meeting Your DIY Needs","Arts, Crafts & Sewing",Big-FEIFEI,1.0,FBA,11.89,6.54,0.0,,"1,089,613",0.0,0,0.0,2.9x4.2x2.7,0.9,Large Standard-Size,7.0,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
B00OKDXBTA,uxcell,uxcell 10 Pcs 7mm Diameter 190mm Length Solder Iron Black Hot Melt Glue Stick,Tools & Home Improvement,,2.0,FBA,9.75,3.91,0.0,,"990,153",5.0,2,0.0,1.2x8.7x1.2,0.18,Large Standard-Size,2.0,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
B07H91FK51,LGEGE,LGEGE 72 Pcs 12 Colors Hot Glue Gun Sticks Hot Melt Adhesive Glue Sticks Mini Glitter for DIY Art Craft 7mm Diameter 10cm Length,"Arts, Crafts & Sewing",LuGe,1.0,FBA,17.99,5.98,1.0,17.98,"732,888",0.0,0,0.0,4.2x4.4x1.3,0.65,Large Standard-Size,3.0,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
B07Y7GPFMP,uxcell,uxcell 3pcs Hot Glue Sticks for Glue Gun 7/16-inch x 7.5-inch Mini Hot Melt Adhesive Glue Stick Clear,Tools & Home Improvement,uxcell,2.0,FBA,6.99,4.24,,,,0.0,0,0.0,2.0x7.9x0.8,0.13,Large Standard-Size,3.0,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
B07XWK2ZZQ,Big-FEIFEI,50pcs Mini Hot Glue Gun Sticks，4' 0.43 Dia Hot Melt Glue Sticks for Kids Adults DIY Sealing Repairing，Compatible with Most Glue Guns,"Arts, Crafts & Sewing",Big-FEIFEI,1.0,FBA,12.65,5.18,,,,0.0,0,0.0,3.1x3.9x3.1,0.41,Large Standard-Size,6.0,,,True,https://www.amazon.com/s?i=industrial-intl-ship&bbn=16225012011&rh=n%3A%2116225012011%2Cn%3A256225011%2Cn%3A705364011&dc&_encoding=UTF8&qid=1571943985&rnid=256225011&ref=sr_nr_n_11,'Adhesives,Sealants & Lubricants','Hot Glue Sticks',,,,,,,
