select,url,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Accounting-Expenses/zgbs/mobile-apps/9408434011,Apps & Games,Business,Accounting & Expenses,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Document-Editing/zgbs/mobile-apps/9408452011,Apps & Games,Business,Document Editing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Document-Viewers/zgbs/mobile-apps/9408454011,Apps & Games,Business,Document Viewers,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Email-Clients/zgbs/mobile-apps/9408468011,Apps & Games,Business,Email Clients,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Graphic-Design/zgbs/mobile-apps/9408456011,Apps & Games,Business,Graphic Design,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Meetings-Conferencing/zgbs/mobile-apps/9408451011,Apps & Games,Business,Meetings & Conferencing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Organizers-Assistants/zgbs/mobile-apps/9408459011,Apps & Games,Business,Organizers & Assistants,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Presentations/zgbs/mobile-apps/9408460011,Apps & Games,Business,Presentations,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Professional-Networking/zgbs/mobile-apps/9408476011,Apps & Games,Business,Networking,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Scanning-Printing/zgbs/mobile-apps/9408932011,Apps & Games,Business,Scanning & Printing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Do-Lists-Reminders/zgbs/mobile-apps/9408461011,Apps & Games,Business,To-Do Lists & Reminders,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Communication/zgbs/mobile-apps/9408466011,Apps & Games,Communication,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Customization/zgbs/mobile-apps/9408481011,Apps & Games,Customization,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Ringtones-Notifications/zgbs/mobile-apps/9408485011,Apps & Games,Customization,Ringtones & Notifications,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Themes/zgbs/mobile-apps/9408486011,Apps & Games,Customization,Themes,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Wallpapers-Images/zgbs/mobile-apps/9408487011,Apps & Games,Customization,Wallpapers & Images,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Widgets/zgbs/mobile-apps/9408942011,Apps & Games,Customization,Widgets,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Education/zgbs/mobile-apps/9408490011,Apps & Games,Education,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Finance/zgbs/mobile-apps/9408433011,Apps & Games,Finance,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Banking/zgbs/mobile-apps/9408435011,Apps & Games,Finance,Banking,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Currency-Converters/zgbs/mobile-apps/9408436011,Apps & Games,Finance,Currency Converters,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Payments-Money-Transfers/zgbs/mobile-apps/9408440011,Apps & Games,Finance,Payments & Money Transfers,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Personal-Finance/zgbs/mobile-apps/9408441011,Apps & Games,Finance,Personal Finance,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Stocks-Investing/zgbs/mobile-apps/9408438011,Apps & Games,Finance,Stocks & Investing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Tax-Calculators/zgbs/mobile-apps/9408442011,Apps & Games,Finance,Tax Calculators,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Food-Drink/zgbs/mobile-apps/9408523011,Apps & Games,Food & Drink,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Cooking-Recipes/zgbs/mobile-apps/9408524011,Apps & Games,Food & Drink,Cooking & Recipes,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Wine-Beverages/zgbs/mobile-apps/9408527011,Apps & Games,Food & Drink,Wine & Beverages,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Games/zgbs/mobile-apps/9209902011,Apps & Games,Games,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Action-Games/zgbs/mobile-apps/9408529011,Apps & Games,Games,Action,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Adventure-Games/zgbs/mobile-apps/9408530011,Apps & Games,Games,Adventure,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Arcade-Games/zgbs/mobile-apps/9408531011,Apps & Games,Games,Arcade,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Board-Games/zgbs/mobile-apps/9408532011,Apps & Games,Games,Board,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Brain-Puzzle-Games/zgbs/mobile-apps/9408533011,Apps & Games,Games,Brain & Puzzle,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Card-Games/zgbs/mobile-apps/9408534011,Apps & Games,Games,Cards,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Casino-Games/zgbs/mobile-apps/9408535011,Apps & Games,Games,Casino,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Dice-Games/zgbs/mobile-apps/9408536011,Apps & Games,Games,Dice,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Rhythm-Games/zgbs/mobile-apps/9408537011,Apps & Games,Games,Music & Rhythm,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Racing-Games/zgbs/mobile-apps/9408538011,Apps & Games,Games,Racing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Role-Playing-Games/zgbs/mobile-apps/9408539011,Apps & Games,Games,Role Playing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Seek-Find-Games/zgbs/mobile-apps/9408541011,Apps & Games,Games,Seek & Find,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Simulation-Games/zgbs/mobile-apps/9408542011,Apps & Games,Games,Simulation,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Sports-Games/zgbs/mobile-apps/9408543011,Apps & Games,Games,Sports Games,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Baseball-Games/zgbs/mobile-apps/9408545011,Apps & Games,Games,Sports Games,Baseball,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Basketball-Games/zgbs/mobile-apps/9408546011,Apps & Games,Games,Sports Games,Basketball,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Bowling-Games/zgbs/mobile-apps/9408547011,Apps & Games,Games,Sports Games,Bowling,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Boxing-Games/zgbs/mobile-apps/9408548011,Apps & Games,Games,Sports Games,Boxing,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Cricket-Games/zgbs/mobile-apps/9408550011,Apps & Games,Games,Sports Games,Cricket,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Extreme-Sports-Games/zgbs/mobile-apps/9408553011,Apps & Games,Games,Sports Games,Extreme Sports,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Fantasy-Sports/zgbs/mobile-apps/9408877011,Apps & Games,Games,Sports Games,Fantasy,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Fishing-Games/zgbs/mobile-apps/9408555011,Apps & Games,Games,Sports Games,Fishing,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Football-Games/zgbs/mobile-apps/9408556011,Apps & Games,Games,Sports Games,Football,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Golf-Games/zgbs/mobile-apps/9408557011,Apps & Games,Games,Sports Games,Golf,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Ice-Hockey-Games/zgbs/mobile-apps/9408560011,Apps & Games,Games,Sports Games,Ice Hockey,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Pool-Billiards-Games/zgbs/mobile-apps/9408565011,Apps & Games,Games,Sports Games,Pool & Billiards,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Soccer-Games/zgbs/mobile-apps/9408568011,Apps & Games,Games,Sports Games,Soccer,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Tennis-Games/zgbs/mobile-apps/9408571011,Apps & Games,Games,Sports Games,Tennis,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Strategy-Games/zgbs/mobile-apps/9408578011,Apps & Games,Games,Strategy,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Trivia-Games/zgbs/mobile-apps/9408579011,Apps & Games,Games,Trivia,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Word-Games/zgbs/mobile-apps/9408580011,Apps & Games,Games,Words,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Health-Fitness/zgbs/mobile-apps/9408749011,Apps & Games,Health & Fitness,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Activity-Tracking/zgbs/mobile-apps/9408750011,Apps & Games,Health & Fitness,Activity Tracking,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Exercise-Motivation/zgbs/mobile-apps/9408751011,Apps & Games,Health & Fitness,Exercise Motivation,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Heart-Rate-Monitors/zgbs/mobile-apps/9408752011,Apps & Games,Health & Fitness,Heart Rate Monitors,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Massage-Guides/zgbs/mobile-apps/9408753011,Apps & Games,Health & Fitness,Massage Guides,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Meditation-Guides/zgbs/mobile-apps/9408727011,Apps & Games,Health & Fitness,Meditation Guides,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Menstrual-Trackers/zgbs/mobile-apps/9408758011,Apps & Games,Health & Fitness,Menstrual Trackers,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Nutrition-Diet/zgbs/mobile-apps/9408759011,Apps & Games,Health & Fitness,Nutrition & Diet,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Pregnancy/zgbs/mobile-apps/9408760011,Apps & Games,Health & Fitness,Pregnancy,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Sleep-Tracking/zgbs/mobile-apps/9408761011,Apps & Games,Health & Fitness,Sleep Tracking,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Sounds-Relaxation/zgbs/mobile-apps/9408774011,Apps & Games,Health & Fitness,Sounds & Relaxation,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Workout-Guides/zgbs/mobile-apps/9408762011,Apps & Games,Health & Fitness,Workout Guides,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Yoga-Guides/zgbs/mobile-apps/9408763011,Apps & Games,Health & Fitness,Yoga Guides,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Kids/zgbs/mobile-apps/9408582011,Apps & Games,Kids,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Book-Readers-Players-Kids/zgbs/mobile-apps/9408583011,Apps & Games,Kids,Book Readers & Players,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Education-Kids/zgbs/mobile-apps/9408633011,Apps & Games,Kids,Education,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Games-Kids/zgbs/mobile-apps/9408584011,Apps & Games,Kids,Games,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Movie-TV-Streaming-Kids/zgbs/mobile-apps/9408708011,Apps & Games,Kids,Movie & TV Streaming,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Music-Audio-Kids/zgbs/mobile-apps/9408649011,Apps & Games,Kids,Music & Audio,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Lifestyle/zgbs/mobile-apps/9408710011,Apps & Games,Lifestyle,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Astrology/zgbs/mobile-apps/9408711011,Apps & Games,Lifestyle,Astrology,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Beauty-Cosmetics/zgbs/mobile-apps/9408713011,Apps & Games,Lifestyle,Beauty & Cosmetics,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Celebrities/zgbs/mobile-apps/9408714011,Apps & Games,Lifestyle,Celebrities,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Crafts-DIY/zgbs/mobile-apps/9408716011,Apps & Games,Lifestyle,Crafts & DIY,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Creative-Writing/zgbs/mobile-apps/9408717011,Apps & Games,Lifestyle,Creative Writing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Diaries/zgbs/mobile-apps/9408718011,Apps & Games,Lifestyle,Diaries,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Fashion-Style/zgbs/mobile-apps/9408722011,Apps & Games,Lifestyle,Fashion & Style,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Game-Rules/zgbs/mobile-apps/9408723011,Apps & Games,Lifestyle,Game Rules,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Home-Garden/zgbs/mobile-apps/9408725011,Apps & Games,Lifestyle,Home & Garden,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Outdoors-Nature/zgbs/mobile-apps/9408729011,Apps & Games,Lifestyle,Outdoors & Nature,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Parenting/zgbs/mobile-apps/9408730011,Apps & Games,Lifestyle,Parenting,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Pets-Animals/zgbs/mobile-apps/9408731011,Apps & Games,Lifestyle,Pets & Animals,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Quotes/zgbs/mobile-apps/9408732011,Apps & Games,Lifestyle,Quotes,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Relationships/zgbs/mobile-apps/9408740011,Apps & Games,Lifestyle,Relationships,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Religion-Spirituality/zgbs/mobile-apps/9408741011,Apps & Games,Lifestyle,Religion & Spirituality,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Self-Improvement/zgbs/mobile-apps/9408743011,Apps & Games,Lifestyle,Self Improvement,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Sexuality/zgbs/mobile-apps/9408744011,Apps & Games,Lifestyle,Sexuality,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Tattoos-Body-Piercing/zgbs/mobile-apps/9408746011,Apps & Games,Lifestyle,Tattoos & Body Piercing,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Wedding/zgbs/mobile-apps/9408747011,Apps & Games,Lifestyle,Wedding,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Local/zgbs/mobile-apps/10298309011,Apps & Games,Local,,,,,,,,
True,https://www.amazon.com/Best-Sellers-Appstore-Android-Business-Locators/zgbs/mobile-apps/9408787011,Apps & Games,Local,Business Locators,,,,,,,
